region,survey,site,site_id,easting,northing,year,land_use,land_use_sub,loc_id,core_id,z,d,rho_fe,rho_c,f_c,s_fei,S_fez,s_ci,S_cz,i,time
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.1,0.05,1204.4693446,32.7734302,0.0272098500031846,60.22346723,102.31815855,1.63867151,3.83867151,2,0
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.2,0.1,1372.400652,33.63811639,0.0245104200008789,137.2400652,239.55822375,3.363811639,7.202483149,3,0
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.3,0.1,,,,,,,,4,0
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.4,0.1,1502.533537,22.9083926,0.0152465100018596,150.2533537,,2.29083926,,5,0
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.5,0.1,1618.687567,8.12809393,0.005021409996411,161.8687567,,0.812809393,,6,0
sc,Jena_1,Edinburgh,EB,330417.65774586,672284.992702021,2004,grass,improved pasture,EB_2,EB_2004_2,0.6,0.1,1604.002199,10.79159847,0.00672791999707227,160.4002199,,1.079159847,,7,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.05,0.05,812.825881,,,40.64129405,40.64129405,,,1,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.1,0.05,1300.1176882,39.6746644,0.0305162100016724,65.00588441,105.64717846,1.98373322,,2,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.2,0.1,1381.92175,37.30717489,0.0269965899950558,138.192175,243.83935346,3.730717489,,3,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.3,0.1,1488.335999,25.74959694,0.0173009300032391,148.8335999,392.67295336,2.574959694,,4,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.4,0.1,,,,,,,,5,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.5,0.1,,,,,,,,6,0
sc,Jena_1,Edinburgh,EB,330419.774142487,672256.677779587,2004,grass,improved pasture,EB_20,EB_2004_20,0.6,0.1,,,,,,,,7,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.05,0.05,936.5328664,32.2,0.0343821355931433,46.82664332,46.82664332,1.61,1.61,1,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.1,0.05,1330.8341628,32.1107127,0.0241282600023138,66.54170814,113.36835146,1.605535635,3.215535635,2,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.2,0.1,1263.597717,23.23629843,0.0183890000095655,126.3597717,239.72812316,2.323629843,5.539165478,3,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.3,0.1,1358.404975,22.53312663,0.0165879299948824,135.8404975,375.56862066,2.253312663,7.792478141,4,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.4,0.1,1445.810672,14.9308868,0.0103269999932605,144.5810672,520.14968786,1.49308868,9.285566821,5,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.5,0.1,1618.653923,8.97091996,0.0055422100008712,161.8653923,682.01508016,0.897091996,10.182658817,6,0
sc,Jena_1,Edinburgh,EB,330317.912383705,672199.012558292,2004,grass,improved pasture,EB_21,EB_2004_21,0.6,0.1,1288.241548,5.15220613,0.00399941000039847,128.8241548,810.83923496,0.515220613,10.69787943,7,0
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.05,0.05,1004.2907854,34.4,0.0342530276092285,50.21453927,50.21453927,1.72,1.72,1,0
